x,y,pp
-76.63361,-11.200278,0.0
-76.80028,-11.350278,0.0
-76.78361,-10.516944,2.1
-76.83361,-11.050278,2.4
-76.75028,-11.500278,0.7
-76.71694,-10.966944,2.5
-76.61694,-11.550278,0.6
-76.51556,-11.655306,0.3
-76.25839,-11.800806,1.0
-75.52528,-11.542222,8.3
-75.28778,-11.880833,15.1
-76.66694,-10.783611,0.0
-74.83056,-10.949167,20.0
-76.23369,-11.648194,9.7
-75.72292,-12.316667,4.9
-74.71694,-12.983611,1.6
-74.25028,-12.933611,13.8
-76.35028,-11.571556,8.2
-76.50028,-12.083611,0.0
-76.35028,-12.183611,1.8
-76.13361,-12.383611,3.4
-76.01694,-12.116944,0.0
-75.87242,-12.344667,5.4
-75.83394,-12.898833,0.0
-75.82636,-12.114944,2.2
-75.64389,-13.203333,0.8
-75.65028,-13.050278,0.0
-75.305,-13.491389,0.0
-75.27111,-13.694722,0.0
-75.23722,-12.542222,6.5
-75.03361,-13.100278,2.6
-76.62194,-11.4525,0.9
-73.94889,-13.643611,17.0
-73.71694,-13.866944,18.4
-74.33889,-13.931944,1.0
-71.67333,-13.363333,0.0
-75.16944,-14.033889,1.5
-74.23722,-14.626944,12.7
-72.91658,-15.544722,0.0
-72.66694,-15.066944,22.6
-72.76694,-15.150278,30.4
-72.34917,-15.493611,16.7
-72.33889,-15.260833,3.1
-72.27028,-15.679167,3.0
-72.11694,-15.566944,12.2
-72.10028,-15.733611,8.0
-71.81167,-15.616583,22.0
-71.45028,-15.350278,26.0
-71.31694,-15.350278,40.5
-70.91694,-15.766944,1.1
-69.96694,-15.300278,1.6
-69.86803,-14.914889,1.1
-70.18361,-14.916944,0.5
-69.49139,-15.559167,6.3
-71.58917,-16.063333,7.6
-71.21668,-15.981225,15.0
-71.14833,-16.318056,27.1
-70.6828,-16.7349,14.4
-70.42356,-16.875,19.8
-70.53725,-16.14075,16.1
-70.33889,-17.288056,3.3
-70.13278,-17.350833,3.4
-70.05028,-17.116944,1.0
-69.99972,-17.559167,5.4
-69.81306,-17.237222,10.8
-69.77944,-17.525,1.5
-69.46759,-17.393589,5.5
-69.70167,-16.740833,1.6
