"fecha","San.Miguel","Hacienda.Cochas","La.Quinua","Wayllapampa","Huamanga","Allpachaca"
"10-2011",17.39,16.12,24.83,29.05,25.69,12.66
"11-2011",31.8,31.01,63.31,73.94,66.7,50.62
"12-2011",78.56,88.21,79.15,98.99,85.07,73
"01-2012",35.43,47.24,62.72,78.54,69.1,49.6
"02-2012",69.88,87.02,99.84,140.45,144.4,139.89
"03-2012",41.77,51.92,78.89,76.19,66.37,67.38
"04-2012",37.99,33.35,55.14,64.73,57.93,40.04
"05-2012",5.98,4.78,15.67,21.74,14.46,4.24
"06-2012",4.75,4.37,7.2,7.64,8.56,4.64
"07-2012",2.13,2.17,4.94,6.89,4.51,2.4
"08-2012",2.89,3.3,1.78,1.55,1.16,1.48
"09-2012",13.21,10.72,27.32,29.8,24.11,12.29
"10-2012",13.04,12.95,21.65,25.79,23.95,13.97
"11-2012",26.63,27.12,60.32,63.13,51.54,41.86
"12-2012",107.83,116.66,116.65,129.6,113.19,88.41
"01-2013",43.27,52.71,87.01,111.17,98.69,55.72
"02-2013",40.89,52.44,78.24,105.9,95.72,67.89
"03-2013",49.19,60.93,98.61,103.64,95.14,88.13
"04-2013",7.96,6.26,9.88,10.39,8.6,6.5
"05-2013",10.17,9.02,8.64,9.05,7.34,7.21
"06-2013",3.4,4.03,2.8,2.94,3.83,4.08
"07-2013",3.83,3.62,5.24,5.9,6.13,3.84
"08-2013",11.97,10.66,28.14,31.71,30.34,14.08
"09-2013",11.89,8.47,36.64,42.18,32.41,10.32
"10-2013",23.65,23.38,55.48,64.87,50.7,22.97
"11-2013",27.64,27.47,55.29,59.05,52.51,34.42
"12-2013",116.59,116.35,124.5,149.38,145.77,99
"01-2014",54.06,65.31,126.65,146.12,138.09,79.87
"02-2014",33.96,39.47,64.36,86.91,82.86,61.54
"03-2014",46.77,55.23,83.51,107.61,98.71,86.86
"04-2014",13.58,13.06,20.35,24.03,21.71,14.31
"05-2014",7.51,6.62,12.11,14.11,11.44,6.28
"06-2014",0.85,0.58,0.63,0.29,0.98,1.5
"07-2014",3.6,3.99,3.37,3.58,3.3,4.01
"08-2014",2.15,2.44,2.56,3.15,2.46,2.45
"09-2014",21.56,20.27,27.95,37.53,33.39,27.72
"10-2014",23.23,20.48,53.26,63.31,59.75,22.53
"11-2014",20.62,22.05,30.76,28.77,27.57,34.74
"12-2014",82.04,93.58,62.76,60.42,63.24,61.89
"01-2015",53.83,68.03,118.68,148.49,159.59,84.54
"02-2015",38.8,48.98,77.57,114.25,87.3,63.48
"03-2015",69.42,84.32,97.02,113.14,98.51,90
"04-2015",19.32,18.04,23.4,25.03,23.63,16.57
"05-2015",16.82,12.1,39.23,42.61,36.26,11.2
"06-2015",3.27,2.58,17.8,22.7,15.89,3.35
"07-2015",5.73,4.67,10.66,14.03,13.97,10.23
"08-2015",11.5,10.24,25.61,38.95,30.77,11.55
"09-2015",7.61,7.7,11.58,11.62,9.48999999999999,8.91
"10-2015",15.51,12.73,36.99,39.34,54.2,17.22
"11-2015",23.36,23.23,37.92,39.01,35.61,28.56
"12-2015",122.95,131.12,101.69,126.78,121.95,109.84
"01-2016",27.64,32.96,39.17,48.21,48.3,34.19
"02-2016",57.53,67.99,96.22,145.07,146.93,96.44
"03-2016",24.66,34.86,36.88,53.37,46.85,49.55
"04-2016",20.77,19.11,24.42,30.93,29.04,20.12
"05-2016",5.25,4.49,5.39,6.46,5.29,3.78
"06-2016",1.91,2.06,1.08,0.49,2.61,3.34
"07-2016",3.6,3.46,4.82,5.35,4.27,2.72
"08-2016",3.77,3.52,8.44,9.82,9.82,4.44
"09-2016",7.39,8.16,8.47,9.31,6.66,7.69
"10-2016",20.38,21.28,24.92,30.68,32.07,16.36
"11-2016",18.13,17.04,28.82,31.78,33.16,24.71
"12-2016",59.28,66.91,55.01,73.06,74.44,51.29
